MPS4000 Validation Report
S/N:,251
Date,2015/01/01
Time,04:55:44
Channels,64
Pressures,15
Temperatures,3
Error Limit,0.06
 ,Temp,Full Scale,Target,Source,MPS,,Percent
Chan,Deg C,Pressure,Pressure,Pressure,Pressure,Delta,Error
1,16.56,1.000,0.000000,0.000005,0.000010,0.000005,0.001,pass
1,16.63,1.000,0.142857,0.142918,0.142958,0.000041,0.004,pass
1,16.63,1.000,0.285714,0.285667,0.285837,0.000170,0.017,pass
1,16.50,1.000,0.428571,0.428620,0.428765,0.000144,0.014,pass
1,16.56,1.000,0.571429,0.571409,0.571480,0.000071,0.007,pass
1,16.63,1.000,0.714286,0.714302,0.714338,0.000036,0.004,pass
1,16.63,1.000,0.857143,0.857110,0.857198,0.000088,0.009,pass
1,16.50,1.000,1.000000,0.999998,1.000134,0.000136,0.014,pass
1,16.56,1.000,-0.142857,-0.142903,-0.142955,-0.000051,-0.005,pass
1,16.56,1.000,-0.285714,-0.285719,-0.285804,-0.000085,-0.009,pass
1,16.63,1.000,-0.428571,-0.428603,-0.428663,-0.000060,-0.006,pass
1,16.63,1.000,-0.571429,-0.571410,-0.571515,-0.000105,-0.011,pass
1,16.56,1.000,-0.714286,-0.714308,-0.714448,-0.000140,-0.014,pass
1,16.50,1.000,-0.857143,-0.857100,-0.857207,-0.000107,-0.011,pass
1,16.56,1.000,-1.000000,-1.000009,-1.000237,-0.000228,-0.023,pass
2,16.56,1.000,0.000000,0.000005,-0.000001,-0.000006,-0.001,pass
2,16.63,1.000,0.142857,0.142918,0.142956,0.000038,0.004,pass
2,16.63,1.000,0.285714,0.285667,0.285809,0.000141,0.014,pass
2,16.50,1.000,0.428571,0.428620,0.428731,0.000110,0.011,pass
2,16.56,1.000,0.571429,0.571409,0.571519,0.000110,0.011,pass
2,16.63,1.000,0.714286,0.714302,0.714320,0.000018,0.002,pass
2,16.63,1.000,0.857143,0.857110,0.857238,0.000128,0.013,pass
2,16.50,1.000,1.000000,0.999998,1.000179,0.000181,0.018,pass
2,16.56,1.000,-0.142857,-0.142903,-0.142922,-0.000019,-0.002,pass
2,16.56,1.000,-0.285714,-0.285719,-0.285780,-0.000061,-0.006,pass
2,16.63,1.000,-0.428571,-0.428603,-0.428649,-0.000046,-0.005,pass
2,16.63,1.000,-0.571429,-0.571410,-0.571490,-0.000080,-0.008,pass
2,16.56,1.000,-0.714286,-0.714308,-0.714442,-0.000135,-0.013,pass
2,16.50,1.000,-0.857143,-0.857100,-0.857178,-0.000077,-0.008,pass
2,16.56,1.000,-1.000000,-1.000009,-1.000197,-0.000187,-0.019,pass
3,16.56,1.000,0.000000,0.000005,-0.000018,-0.000023,-0.002,pass
3,16.63,1.000,0.142857,0.142918,0.142937,0.000019,0.002,pass
3,16.63,1.000,0.285714,0.285667,0.285742,0.000075,0.007,pass
3,16.50,1.000,0.428571,0.428620,0.428688,0.000067,0.007,pass
3,16.56,1.000,0.571429,0.571409,0.571508,0.000099,0.010,pass
3,16.63,1.000,0.714286,0.714302,0.714241,-0.000061,-0.006,pass
3,16.63,1.000,0.857143,0.857110,0.857173,0.000063,0.006,pass
3,16.50,1.000,1.000000,0.999998,1.000130,0.000131,0.013,pass
3,16.56,1.000,-0.142857,-0.142903,-0.142900,0.000003,0.000,pass
3,16.56,1.000,-0.285714,-0.285719,-0.285752,-0.000033,-0.003,pass
3,16.63,1.000,-0.428571,-0.428603,-0.428657,-0.000054,-0.005,pass
3,16.63,1.000,-0.571429,-0.571410,-0.571487,-0.000077,-0.008,pass
3,16.56,1.000,-0.714286,-0.714308,-0.714420,-0.000112,-0.011,pass
3,16.50,1.000,-0.857143,-0.857100,-0.857145,-0.000045,-0.004,pass
3,16.56,1.000,-1.000000,-1.000009,-1.000125,-0.000116,-0.012,pass
4,16.56,1.000,0.000000,0.000005,-0.000020,-0.000025,-0.003,pass
4,16.63,1.000,0.142857,0.142918,0.142952,0.000034,0.003,pass
4,16.63,1.000,0.285714,0.285667,0.285810,0.000142,0.014,pass
4,16.50,1.000,0.428571,0.428620,0.428754,0.000134,0.013,pass
4,16.56,1.000,0.571429,0.571409,0.571481,0.000071,0.007,pass
